Frequency (Hz),C Depletion (F),C Accumulation (F),||C|| (A.U.),eps_PMMA @295K
20,6.30349E-011,6.76613E-011,0.9816094545,3.43107
23.318288,6.26811E-011,6.70486E-011,0.9918543075,3.40071
27.187128,6.40324E-011,6.86722E-011,0.9918109203,3.37493
31.697864,6.52725E-011,6.95584E-011,0.9907569598,3.3444
36.956996,6.391E-011,6.81111E-011,0.9939306497,3.32554
43.088694,6.33342E-011,6.77979E-011,0.992088979,3.31298
50.237729,6.37787E-011,6.80103E-011,1.0022052546,3.30021
58.572891,6.2424E-011,6.65805E-011,0.9945563839,3.26873
68.290977,6.21502E-011,6.62817E-011,0.994115114,3.24814
79.621434,6.18016E-011,6.6027E-011,0.9938966448,3.22781
92.831777,6.12221E-011,6.5347E-011,0.9977812093,3.20823
108.233905,6.11012E-011,6.51248E-011,0.9959982254,3.18995
126.191469,6.13479E-011,6.53054E-011,0.996368846,3.17048
147.128451,6.03187E-011,6.42237E-011,0.9964165753,3.15405
171.53918,5.99381E-011,6.38223E-011,0.9964850173,3.13624
200,5.96409E-011,6.34799E-011,0.995999971,3.11974
233.18288,5.92148E-011,6.30223E-011,0.9966702177,3.1039
271.871278,5.89397E-011,6.26864E-011,0.9965242403,3.08781
316.978638,5.8716E-011,6.24599E-011,0.9968291132,3.07196
369.569959,5.85274E-011,6.22336E-011,0.9974636853,3.05723
430.886938,5.82248E-011,6.18958E-011,0.9977406304,3.04192
502.377286,5.79032E-011,6.15322E-011,0.9977720967,3.02801
585.728913,5.76542E-011,6.12528E-011,0.9979170405,3.01436
682.909775,5.74091E-011,6.09794E-011,0.9981875681,3.00063
796.214341,5.71772E-011,6.07114E-011,0.9984991977,2.98723
928.317767,5.69338E-011,6.0445E-011,0.9988760898,2.97435
1082.339053,5.67096E-011,6.01909E-011,0.9990597433,2.96288
1261.914689,5.64805E-011,5.99408E-011,0.999159348,2.95063
1471.284509,5.62707E-011,5.97047E-011,0.9993840472,2.93896
1715.391797,5.60641E-011,5.947E-011,0.9996302972,2.9276
2000,5.58665E-011,5.92521E-011,0.9997810675,2.91651
2331.828802,5.56755E-011,5.90346E-011,0.9999565823,2.90623
2718.712782,5.54848E-011,5.88239E-011,0.9999706683,2.89581
3169.786385,5.53032E-011,5.86195E-011,0.9999960209,2.88589
3695.699595,5.51272E-011,5.84229E-011,0.9999780335,2.87603
4308.86938,5.49535E-011,5.82283E-011,0.9998643287,2.86639
5023.772863,5.47841E-011,5.80388E-011,0.999658066,2.85709
5857.289129,5.46213E-011,5.7857E-011,0.9993599785,2.84798
6829.097748,5.44615E-011,5.7679E-011,0.998928739,2.83913
7962.143411,5.43068E-011,5.7507E-011,0.9983667275,2.8306
9283.177667,5.41569E-011,5.73389E-011,0.9976624236,2.82222
10823.390531,5.40104E-011,5.7176E-011,0.996807966,2.81403
12619.14689,5.38665E-011,5.70161E-011,0.9958480308,2.80602
14712.845089,5.37282E-011,5.68617E-011,0.9947702847,2.79825
17153.917972,5.3594E-011,5.6711E-011,0.9935506135,2.79068
20000,5.34622E-011,5.65635E-011,0.9922409744,2.78319
23318.288024,5.33339E-011,5.642E-011,0.9908265922,2.77594
27187.127818,5.321E-011,5.628E-011,0.9893123377,2.7688
31697.863849,5.30893E-011,5.61233E-011,0.9873616767,2.76091
36956.995948,5.29536E-011,5.59904E-011,0.9860471001,2.75418
43088.693801,5.28392E-011,5.58598E-011,0.9843299531,2.74758
50237.72863,5.27277E-011,5.57315E-011,0.9825383617,2.74111
58572.891293,5.26191E-011,5.56058E-011,0.9806975983,2.73482
68290.977477,5.2514E-011,5.54803E-011,0.9787583006,2.72855
79621.434111,5.2412E-011,5.53592E-011,0.976794629,2.72253
92831.776672,5.23125E-011,5.5239E-011,0.9747849971,2.71668
108233.905309,5.22348E-011,5.51388E-011,0.9727504558,2.71189
126191.468896,5.21443E-011,5.50236E-011,0.9706877882,2.70625
147128.450892,5.20553E-011,5.49091E-011,0.9686755285,2.70086
171539.179718,5.19725E-011,5.4796E-011,0.9666757017,2.6956
200000,5.18935E-011,5.46849E-011,0.9647564564,2.69048
